,Question,Answer,Solution,url
0,"1) 
I. Pooja is older than Mukesh.
II. Suresh is older than Pooja.
III. Mukesh is older than Suresh. 
If the first two statements are true, the third statement is 

A. False
B. True
C. Uncertain",A,"From the first two statements, it is clear that Mukesh is the youngest of the three. So, the third statement is false.
",https://www.javatpoint.com/logical-problems-1
1,"2) 
I. Mohan runs faster than Sohan.
II. Pooja runs faster than Mohan.
III. Sohan runs faster than Pooja. 
If the first two statements are true, the third statement is 

A. False
B. True
C. Uncertain",A,"From the first two statements, it is clear that Pooja runs fastest. So, the third statement is false.
",https://www.javatpoint.com/logical-problems-1
2,"3) 
I. Tom weighs less than Peter.
II. Tom weighs more than John.
III. Out of these three boys, John weighs the least.
If the first two statements are true, the third statement is 

A. False 
B. True
C. Uncertain


",B,"From the first two statements, it is clear that Peter weighs the most and John weighs the least.
",https://www.javatpoint.com/logical-problems-1
3,"4) 
I. School A has more admissions than School B.
II. School C has fewer admissions than School B.
III. School A has fewer admissions than School C.
If the first two statements are true, the third statement is 

A. False
B. True
C. Uncertain 


",A,"From the first two statements, it is clear that School A has the highest admissions, so the third statement is false.
",https://www.javatpoint.com/logical-problems-1
4,"5.
I. Blue apples cost more than green apples.
II. Blue apples cost less than red apples.
III. Red apples cost more than green apples and blue apples.
If the first two statements are true, the third statement is 

A. False
B. True
C. Uncertain 


",B,"From the first two statements, it is clear that red apples are expensive than the green and red apples.
",https://www.javatpoint.com/logical-problems-1
0,"6)
I. All flowers in the garden are red.
II. Some of the flowers are roses. 
III. All roses in the garden are red. 
If the first two statements are true, the third statement is

A. False
B. True
C. Uncertain


",B,"From the first two statements, it is clear that all roses in the garden are red.
",https://www.javatpoint.com/logical-problems-2
1,"7)
I. The Majestic mall has more restaurants than the Star Mall.
II. The Wave Mall has fewer restaurants than the Star Mall.
III. The Majestic Mall has more restaurants than Wave Mall. 
If the first two statements are true, the third statement is

A. False 
B. True 
C. Uncertain


",B,"From the first two statements, we can conclude that the Majestic Mall has more restaurants than Star as well as Wave mall.
",https://www.javatpoint.com/logical-problems-2
2,"8)
I. All the roses in Maria's garden are white.
II. All the petunias in Maria's garden are yellow.
III. All the flowers in Maria's garden are either white or yellow.
If the first two statements are true, the third statement is

A. False 
B. True 
C. Uncertain 


",C,"The first two statements provide information about Maria's roses and petunias. She has both white and yellow flowers and may have some other kind of flowers with different colors.
",https://www.javatpoint.com/logical-problems-2
3,"9) 
I. Geeta has four children. 
II. Two of the children have green eyes, and two of the children have blue eyes. 
III. Half of the children are girls. 
If all the statements are true, which of the following statements must be true?
1. At least one boy has blue eyes. 
2. Two of the children are girls. 
3. The girls have green eyes. 

A. 1 and 2 only 
B. 2 and 3 only
C. 1 only
D. 2 only 


",D,"Half (two) of the four children are boys, so the other two must be girls. It is not clear from the statements that which children have green or blue eyes. Thus, the answer is option D.
",https://www.javatpoint.com/logical-problems-2
4,"10) 
I. All chickens are birds.
II. Some chickens are hens.
III. Male birds do not lay eggs.
If all the above statements are true, which of the following statements must be true?
1. Hens are birds.
2. All birds lay eggs.
3. Some chickens are not hens.

A. 1 and 2 only 
B. 2 and 3 only
C. 3 only 
D. 1 and 3 only 


",D,"The second statement is not true as only female birds lay eggs. The first statement is true as hens are chickens and all chickens are birds. The third statement is also true as some chickens are hens, then some must not be hens.
",https://www.javatpoint.com/logical-problems-2
0,"11)
I. Tom has five vehicles. 
II. Three of the vehicles are blue. 
III. One of the vehicles is a van. 
If all the above statements are true, which of the following statements must be true?
1. Tom has a blue van 
2. Tom has four cars
3. Tom's favorite color is blue

A. 1
B. 1 and 2
C. 3
D. None of these 


",D,"None of the statements is a known fact. So, the answer is option D.
",https://www.javatpoint.com/logical-problems-3
1,"12)
I. All dogs like to run.
II. Some dogs like to bark. 
III. Some dogs look like wolves.
If all the above statements are true, which of the following statements must be true?
1. All dogs who like to bark look like wolves. 
2. Dogs who like to bark also like to run.
3. Dogs who like to run do not look like wolves.

A. 1
B. 2 
C. 2 and 3 only
D. None of these


",B,"Statement II is true as all dogs like to run and so dogs who like to bark also like to run. The statement I and III are not supported.
",https://www.javatpoint.com/logical-problems-3
2,"13)
I. All drinks are soups.
II. All soups are drinkable.
III. Some soups are red drinks.
If all the above statements are true, which of the following statements must be true?
1. Some drinks are red drinks. 
2. All soups are drinks.
3. All red drinks are drinkable.

A. I and II only
B. II only 
C. I and III only
D. III only 
E. None of these


",D,"Statement III is true. As all soups are drinkable and some soups are red drinks, so all red drinks would be drinkable. Rest of the statements is not supported.
",https://www.javatpoint.com/logical-problems-3
3,"14)
I. All caps have brims. 
II. There are red caps and blue caps.
III. Baseball hats are caps.
If all the above statements are true, which of the following statements must be true?
1. All hats have brims.
2. Some baseball hats are blue. 
3. Baseball hats have no brims.

A. I only
B. II only 
C. II and III only 
D. None of these


",D,"All baseball hats have brims since baseball hats are caps (fact 3) and all caps have brims (I). This rule out statement III, but it doesn't follow that all hats, a category that may include caps that are not baseball hats, have brims (I). Statement II cannot be confirmed, either, since it is possible, as per the given information, that all baseball caps are red.
",https://www.javatpoint.com/logical-problems-3
4,"15) Four friends were sharing a pizza. They decided to give an extra piece to the oldest friend. Tom is three months older than Chris, who is four months younger than John. Peter is two months older than Chris. Who will get the extra piece of pizza? 

A. Peter 
B. Chris
C. John 
D. Tom


",C,"Chris is three months younger than Tom and four months younger than John.Also, Chris is two months younger than Peter. So, John is the oldest, and he will get the extra piece of pizza.
",https://www.javatpoint.com/logical-problems-3
0,"16) At the baseball game, Peter was sitting in the seat 255. Maria was sitting to the right of Peter in the seat 256. Tom was sitting in the seat to the left of the Peter. John was sitting to the left of Tom. In which seat John was sitting?

A. 252
B. 253
C. 251
D. 250


",B,"Tom is sitting to the left of Peter, so his seat is 254. John is sitting to the left of Tom, so his seat would be 253.
",https://www.javatpoint.com/logical-problems-4
1,"17) A mugging is witnessed by four people. They provide different descriptions of the mugger to the police. Which of the following descriptions is probably correct?

A. Thin, middle-aged and average height
B. Thin, tall and middle-aged
C. Tall, thin and young
D. Tall, average height and middle-aged


",B,"The three elements of the description (Tall, thin and middle-aged) are repeated most often, so the option B is most likely to be accurate.
",https://www.javatpoint.com/logical-problems-4
2,"18) Ms. Roberts allowed her students to choose who their partner will be; however, no pair of students can work together for more than five class periods in a row. Ram and Mohan have studied together five class periods in a row. Suresh and Amit have worked together three class periods in a row. Suresh does not want to work with Ram. Who should be assigned to work with Mohan?

A. Suresh
B. Ram
C. Amit
D. None of these


",A,"Mohan can be assigned to study with Suresh. Mohan cannot be assigned to study with Ram as they already studied together for five class periods in a row. If Mohan joins Amit, it will leave Suresh with Ram, but Suresh does not want to work with Ram, so Mohan will pair with Suresh.
",https://www.javatpoint.com/logical-problems-4
3,"19) A college's science department wants to appoint a new chairperson, based on seniority. Mr. Verma has less seniority than Mr. Tomar, but more than Mrs. Bakshi. Mr. Rawat has more seniority than Mr. Verma, but less than Mr. Tomar. Mr. Tomar doesn't want the job. Who will be the new science department chairperson?

A. Mr. Rawat
B. Mr. Tomar
C. Mr. Verma
D. Mr. Bakshi


",A,"Mr. Tomar is the most senior, but he does not want the job. Next in line is Mr. Rawat, who has more seniority than Mr. Verma or Mrs. Bakshi.
",https://www.javatpoint.com/logical-problems-4
4,"20) Dinesh has been visiting friends in Delhi for the past two weeks. He is leaving tomorrow morning, and his flight is very early in the morning. Most of his friends live close to the airport. Mohan lives 8 miles away. Farid lives three miles away, Sohan lives five miles away. Aman is farther away than Farid, but closer than Sohan. Approximately how far is Aman from the airport?

A. seven miles
B. five miles
C. six miles
D. four miles


",D,"Aman is farther away than Frid, who is three miles away, and closer than Sohan, who is five miles away. So, approximately he is four miles away from the airport.
",https://www.javatpoint.com/logical-problems-4
0,"1) Statement: A severe drought is reported in many states of the country. 
Courses of action; 
I. The government should immediately provide financial assistance to the people of the affected states. 
II. The government should immediately send food, water, and fodder to the affected states to save people and livestock.

A. Only I follows
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",B,"In this situation, the government should think about saving the lives of people and livestock by providing basic amenities like food and water. Providing financial assistance will not provide immediate relief and would put an extra burden on the funds.
",https://www.javatpoint.com/course-of-action-1
1,"2) Statement: A large number of people in the city die every year due to polluted drinking water. 
Courses of action; 
I. The government should make necessary arrangements to provide safe drinking water to the people of the city.
II. The government should educate people about the dangers of drinking contaminated water. 

A. Only I follows 
B. Only II follows
C. Either I or II follows
D. Neither I nor II follows
E. Both I and II follow


",E,"In this situation, the government should provide safe drinking water as well as spread awareness about the ill effects of drinking contaminated water.
",https://www.javatpoint.com/course-of-action-1
